epoch,value,layer_name,trace
7,232.75642251968384,model,between
7,228665.84040689468,model,sum
7,228433.083984375,,within
7,232.75642251968384,,between
7,228665.84040689468,,sum
10,231093.1171875,model.flatten,within
10,228.98151350021362,model.flatten,between
10,231322.0987010002,model.flatten,sum
10,231093.1171875,model.fc0,within
10,228.98151350021362,model.fc0,between
10,231322.0987010002,model.fc0,sum
10,1893.988395690918,model.relu0,within
10,1.8796150796115398,model.relu0,between
10,1895.8680107705295,model.relu0,sum
10,662.2168388366699,model.fc1,within
10,0.553453853353858,model.fc1,between
10,662.7702926900238,model.fc1,sum
10,15.972039818763733,model.relu1,within
10,0.013204529939685017,model.relu1,between
10,15.985244348703418,model.relu1,sum
10,6.126207947731018,model.fc2,within
10,0.004826714954106137,model.fc2,between
10,6.131034662685124,model.fc2,sum
10,0.14655084256082773,model.relu2,within
10,0.00011361187125658034,model.relu2,between
10,0.1466644544320843,model.relu2,sum
10,0.07007666490972042,model.fc3,within
10,5.34541507022368e-05,model.fc3,between
10,0.07013011906042266,model.fc3,sum
10,0.0017101416815421544,model.relu3,within
10,1.3391158688591531e-06,model.relu3,between
10,0.0017114807974110136,model.relu3,sum
10,0.0008404074942518491,model.fc4,within
10,6.4269703869968e-07,model.fc4,between
10,0.0008410501912905488,model.fc4,sum
10,2.0309923343120317e-05,model.relu4,within
10,1.5528458130464884e-08,model.relu4,between
10,2.0325451801250782e-05,model.relu4,sum
10,1.0291443402365985e-05,model.fc5,within
10,7.95381804863382e-09,model.fc5,between
10,1.0299397220414619e-05,model.fc5,sum
10,2.4764026385071247e-07,model.relu5,within
10,1.93111053189976e-10,model.relu5,between
10,2.4783337490390245e-07,model.relu5,sum
10,1.2731517395891956e-07,model.fc6,within
10,1.0140354094606563e-10,model.fc6,between
10,1.2741657749986562e-07,model.fc6,sum
10,3.08498743217811e-09,model.relu6,within
10,2.4136471629947892e-12,model.relu6,between
10,3.087401079341105e-09,model.relu6,sum
10,1.533249777141421e-09,model.fc7,within
10,1.1892420540362842e-12,model.fc7,between
10,1.5344390191954574e-09,model.fc7,sum
10,3.7173455286199086e-11,model.relu7,within
10,2.987127630007234e-14,model.relu7,between
10,3.720332656249916e-11,model.relu7,sum
10,1.8750917268536837e-11,model.fc8,within
10,1.5105160888879922e-14,model.fc8,between
10,1.8766022429425717e-11,model.fc8,sum
10,4.620116799309041e-13,model.relu8,within
10,4.930988935202211e-16,model.relu8,between
10,4.625047788244244e-13,model.relu8,sum
10,2.2126707357219806e-13,model.fc9,within
10,2.3007372453064465e-16,model.fc9,between
10,2.214971472967287e-13,model.fc9,sum
10,1.3579439086868969e-14,model.relu9,within
10,1.2957123130179565e-16,model.relu9,between
10,1.3709010318170765e-14,model.relu9,sum
10,6.6444810803698354e-15,model.fc10,within
10,6.936894442930565e-17,model.fc10,between
10,6.713850024799141e-15,model.fc10,sum
10,231093.1171875,model,within
10,228.98151350021362,model,between
10,231322.0987010002,model,sum
10,231093.1171875,,within
10,228.98151350021362,,between
10,231322.0987010002,,sum
14,227923.533203125,model.flatten,within
14,237.75313663482666,model.flatten,between
14,228161.28633975983,model.flatten,sum
14,227923.533203125,model.fc0,within
14,237.75314235687256,model.fc0,between
14,228161.28634548187,model.fc0,sum
14,652.738037109375,model.relu0,within
14,0.688709894195199,model.relu0,between
14,653.4267470035702,model.relu0,sum
14,227.7923126220703,model.fc1,within
14,0.19945779256522655,model.fc1,between
14,227.99177041463554,model.fc1,sum
14,1.9207278341054916,model.relu1,within
14,0.0016689921685610898,model.relu1,between
14,1.9223968262740527,model.relu1,sum
14,0.7501987218856812,model.fc2,within
14,0.0006092707626521587,model.fc2,between
14,0.7508079926483333,model.fc2,sum
14,0.006270583049627021,model.relu2,within
14,5.001098799084502e-06,model.relu2,between
