epoch,value,layer_name
30,[-62105.23   52964.984  49536.883 ... -10809.797 -32144.463 -10923.684],model.block8.relu
30,[-13223.592 -63379.3   206498.23  ...   7505.285  16085.041  13135.925],model.block9.fc
30,"[ -8229.932     957.5666 -15286.918  ...  13041.507  -12579.251
  26167.549 ]",model.block9.relu
30,[2352.725   801.3436  650.4764 ...  705.1277 -611.5469 1437.3816],model.fc
40,"[ 3.5344350e+06 -1.4623632e+06  2.5978135e+06 ...  3.6024520e+04
 -2.4338135e+03 -5.3983486e+03]",model.block0.fc
40,"[-26361.67    16731.965   46496.805  ...   3806.8564  16316.297
   7623.6963]",model.block0.relu
40,"[125282.53       651.39844 113764.13    ...  17915.607    12958.047
  12235.103  ]",model.block1.fc
40,[36410.88   -6086.305   7805.2734 ... 19672.086  19394.043  -7291.3086],model.block1.relu
40,"[189841.69     8990.56   -32959.74   ...  77413.75    21275.668
  -1993.0928]",model.block2.fc
40,"[ 58036.82     3985.6777  -5640.7373 ...  25911.396  -18115.47
  22494.453 ]",model.block2.relu
40,[124256.37   26173.219 -21704.094 ...   7914.455 -12104.984  26592.828],model.block3.fc
40,[128218.86    4394.35   58014.85  ...  20355.066  -8282.133 -35703.13 ],model.block3.relu
40,"[ 68550.46    39527.062   43898.61   ...   3601.8955 -30869.293
 -16547.61  ]",model.block4.fc
40,[ 24945.492  26675.27  -31649.74  ...  14183.367 -10906.84  -11258.947],model.block4.relu
40,[121378.39   52820.816  78721.805 ...  17815.35    9835.957  -9458.085],model.block5.fc
40,"[  8484.6875  14321.109   19828.51   ... -12269.645   19275.473
  -5376.001 ]",model.block5.relu
40,[13432.023  19426.875  43091.754  ...  9214.651  24255.748  -4437.6562],model.block6.fc
40,"[ 4035.644    1938.3588   3028.3906  ... -2410.8577   -494.34058
 -2888.054  ]",model.block6.relu
40,"[ 20080.436  -15646.081    2192.0813 ...   3235.1362  -2399.1929
  -9887.099 ]",model.block7.fc
40,"[-1723.6307    976.30524 -1132.6215  ...  1861.6738  -1649.166
   -79.43994]",model.block7.relu
40,"[ -164.35397  1501.1292   -620.3509  ...  2997.5962   2616.23
 -2272.6428 ]",model.block8.fc
40,"[ -6105.0503  -6824.7285   -955.5454 ...  -1267.8132 -11853.158
  -3150.5461]",model.block8.relu
40,"[ 4865.5635   3469.751    3727.857   ...  -563.88477 12104.567
  6631.0625 ]",model.block9.fc
40,"[ -9865.16     2983.251  -12118.1045 ...   5489.1743  -1905.7362
  31428.396 ]",model.block9.relu
40,[-1889.0579   786.0075  9177.585  ...  4379.049   1184.173   1117.2446],model.fc
50,"[-249596.97  -151141.7   -165878.44  ...   16542.84   -11229.117
   -6889.048]",model.block0.fc
50,[ 14018.506  39904.797  65833.68  ... -20529.416   7762.614   8330.879],model.block0.relu
50,"[ -9033.423   59040.996  156534.86   ...  -3338.8267  24309.154
  17916.104 ]",model.block1.fc
50,"[-46216.42     7545.3784  80875.2    ...  33560.574   22000.887
 -14567.508 ]",model.block1.relu
50,[-58442.97  110986.27  -40064.906 ...  62452.8    13390.123   4267.061],model.block2.fc
50,[28487.88   10983.973  -4596.094  ... 33285.7    -3962.5972 12098.887 ],model.block2.relu
50,[47920.594   7480.375   1571.8519 ... -8425.151   -778.9463 24900.934 ],model.block3.fc
50,[ -9985.199  95624.86   43167.438 ...  14167.379   9706.688 -41577.38 ],model.block3.relu
50,"[ 47223.797   35788.14    25649.004  ...  -7316.014    -698.6172
 -36359.84  ]",model.block4.fc
50,[-30136.807  30040.328   8358.122 ...  10805.17  -12955.635  -6031.578],model.block4.relu
50,[ 69274.16   11874.341 -20091.875 ...  35219.414  10310.548 -16534.867],model.block5.fc
50,"[12622.902    7563.3125  -1638.8348  ... -5852.4043   -112.48633
 -2058.4507 ]",model.block5.relu
50,"[ 21794.873    6101.193    7473.024  ...   1979.2999  -6439.8237
 -13012.952 ]",model.block6.fc
50,[-2054.1123  -171.1027 24991.629  ...  2851.2532 -1843.2534  -686.0107],model.block6.relu
50,[43624.57   11162.186  -2031.621  ...  7174.8     6732.0244 -6947.7812],model.block7.fc
50,[  697.0197  1207.8718  -599.0043 ...   535.1015  -757.7471 -1219.3708],model.block7.relu
50,"[-20636.662    11221.951    20814.182   ...   3170.9033    3558.8716
    995.57996]",model.block8.fc
50,"[ 5114.423   -2756.9482    344.67017 ...  2231.6265  -3518.9458
  2405.5017 ]",model.block8.relu
50,"[-5849.649    4618.4565  -2530.6562  ...  -266.01508  2828.1724
  3046.5825 ]",model.block9.fc
